Date,Pays,Deces,diffDeces0,diffDecesHier,pctgrow,daySince0,moyenne7
2020-03-15,Suisse,13,1,2,-0.5,10.0,0.06
2020-03-15,"Suède",2,1,1,0.0,4.0,-0.5
2020-03-15,"Égypte",2,0,0,,7.0,-1.0
2020-03-15,"Équateur",2,0,2,-1.0,1.0,-1.0
2020-03-15,"États-Unis",54,9,7,0.29,15.0,0.73
2020-03-16,"Algérie",4,0,1,-1.0,4.0,-0.25
2020-03-16,Allemagne,11,6,2,2.0,7.0,0.56
2020-03-16,Argentine,2,0,0,,8.0,-1.0
2020-03-16,Australie,3,0,0,,15.0,-1.33
2020-03-16,Autres,7,0,0,,25.0,-1.0
2020-03-16,Belgique,4,1,0,,5.0,-1.0
2020-03-16,Bulgarie,2,0,0,,5.0,-1.0
2020-03-16,"Corée du Sud",75,0,3,-1.0,25.0,0.31
2020-03-16,Danemark,2,1,1,0.0,2.0,0.0
2020-03-16,Espagne,289,53,94,-0.44,13.0,0.41
2020-03-16,France,127,21,36,-0.42,30.0,0.39
2020-03-16,"Grèce",4,0,1,-1.0,5.0,-0.83
2020-03-16,Hong-Kong,4,0,0,,41.0,-1.0
2020-03-16,Inde,2,0,0,,5.0,-1.0
2020-03-16,"Indonésie",5,0,0,,5.0,-0.89
2020-03-16,Iraq,10,0,0,,12.0,-0.5
2020-03-16,Irlande,2,0,0,,5.0,-1.0
2020-03-16,Islande,5,-5,5,-2.0,1.0,-2.0
2020-03-16,Italie,1809,349,368,-0.05,24.0,0.28
2020-03-16,Japon,22,5,0,,32.0,-1.11
2020-03-16,Liban,3,0,0,,6.0,0.0
2020-03-16,"Norvège",3,0,0,,2.0,-1.0
2020-03-16,Pays-Bas,20,4,8,-0.5,10.0,0.18
2020-03-16,Philippines,11,1,3,-0.67,43.0,0.33
2020-03-16,Pologne,3,1,0,,4.0,-0.33
2020-03-16,Royaume-Uni,35,21,14,0.5,11.0,-1.13
2020-03-16,Saint-Marin,5,2,0,,13.0,-0.33
2020-03-16,Suisse,14,6,1,5.0,11.0,1.06
2020-03-16,"Suède",3,3,1,2.0,5.0,0.33
2020-03-16,"Égypte",2,0,0,,8.0,-1.0
2020-03-16,"Équateur",2,0,0,,2.0,-1.0
2020-03-16,"États-Unis",63,22,9,1.44,16.0,1.04
2020-03-17,"Algérie",4,0,0,,5.0,-0.25
2020-03-17,Allemagne,17,7,6,0.17,8.0,0.75
2020-03-17,Argentine,2,0,0,,9.0,-1.0
2020-03-17,Australie,3,2,0,,16.0,-1.33
2020-03-17,Autres,7,0,0,,26.0,-1.0
2020-03-17,Autriche,3,0,2,-1.0,5.0,-1.0
2020-03-17,Belgique,5,5,1,4.0,6.0,0.67
2020-03-17,Bulgarie,2,0,0,,6.0,-1.0
2020-03-17,Canada,4,1,3,-0.67,8.0,-0.67
2020-03-17,"Corée du Sud",75,6,0,,26.0,0.5
2020-03-17,Danemark,3,1,1,0.0,3.0,0.0
2020-03-17,Espagne,342,191,53,2.6,14.0,0.84
2020-03-17,France,148,27,21,0.29,31.0,0.38
2020-03-17,"Grèce",4,1,0,,6.0,-0.83
2020-03-17,Hong-Kong,4,0,0,,42.0,-1.0
2020-03-17,Inde,2,1,0,,6.0,-1.0
2020-03-17,"Indonésie",5,0,0,,6.0,-0.89
2020-03-17,Iraq,10,1,0,,13.0,-0.5
2020-03-17,Irlande,2,0,0,,6.0,-1.0
2020-03-17,Italie,2158,345,349,-0.01,25.0,0.17
2020-03-17,Japon,27,2,5,-0.6,33.0,-0.9
2020-03-17,Liban,3,0,0,,7.0,0.0
2020-03-17,"Norvège",3,0,0,,3.0,-1.0
2020-03-17,Pays-Bas,24,19,4,3.75,11.0,0.78
2020-03-17,Philippines,12,0,1,-1.0,44.0,0.07
2020-03-17,Pologne,4,1,1,0.0,5.0,-0.25
2020-03-17,Royaume-Uni,56,0,21,-1.0,12.0,-1.42
2020-03-17,Saint-Marin,7,0,2,-1.0,14.0,-0.5
2020-03-17,Suisse,20,7,6,0.17,12.0,0.93
2020-03-17,"Suède",6,1,3,-0.67,6.0,0.08
2020-03-17,"Égypte",2,2,0,,9.0,-1.0
2020-03-17,"Équateur",2,0,0,,3.0,-1.0
2020-03-17,"États-Unis",85,23,22,0.05,17.0,0.34
2020-03-18,"Algérie",4,3,0,,6.0,-0.25
2020-03-18,Allemagne,24,4,7,-0.43,9.0,0.58
2020-03-18,Argentine,2,0,0,,10.0,-1.0
2020-03-18,Australie,5,1,2,-0.5,17.0,-1.17
2020-03-18,Autres,7,0,0,,27.0,-1.0
2020-03-18,Autriche,3,1,0,,6.0,-1.0
2020-03-18,Belgique,10,4,5,-0.2,7.0,0.45
2020-03-18,Bulgarie,2,0,0,,7.0,-1.0
2020-03-18,Canada,5,3,1,2.0,9.0,0.67
2020-03-18,"Corée du Sud",81,3,6,-0.5,27.0,-0.6
2020-03-18,Danemark,4,0,1,-1.0,4.0,-0.25
2020-03-18,Espagne,533,90,191,-0.53,15.0,0.52
2020-03-18,France,175,89,27,2.3,32.0,0.58
2020-03-18,"Grèce",5,0,1,-1.0,7.0,-0.88
2020-03-18,Hong-Kong,4,0,0,,43.0,-1.0
2020-03-18,Inde,3,0,1,-1.0,7.0,-1.0
2020-03-18,"Indonésie",5,14,0,,7.0,-0.89
